page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,08:30,12:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,01,Tuesday,13:30,17:00,Lecture,In-person,D-5008
1,COM120,MÉTHODES DE COMMUNICATION,02,Friday,13:30,17:00,Lecture,In-person,D-3008
1,COM120,MÉTHODES DE COMMUNICATION,02,Tuesday,08:30,12:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,03,Friday,09:00,12:30,Lecture,In-person,D-3010
1,COM120,MÉTHODES DE COMMUNICATION,03,Wednesday,13:30,17:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,04,Monday,08:30,12:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,04,Wednesday,09:00,12:30,Lecture,In-person,D-4017
1,COM120,MÉTHODES DE COMMUNICATION,05,Monday,13:30,17:00,Lecture,In-person,D-3010
1,COM120,MÉTHODES DE COMMUNICATION,05,Thursday,13:30,17:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,06,Thursday,18:00,21:30,Lecture,In-person,B-1502
1,COM120,MÉTHODES DE COMMUNICATION,06,Tuesday,18:00,22:00,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,07,Friday,18:00,21:30,Lecture,In-person,B-1516
1,COM120,MÉTHODES DE COMMUNICATION,07,Monday,18:00,22:00,Lab,,B-3404
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Thursday,18:00,20:00,Lab,In-person,A-3346
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Wednesday,18:00,21:30,Lecture,In-person,B-3418
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Monday,18:00,20:00,Lab,In-person,A-3220
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Thursday,18:00,21:30,Lecture,In-person,B-3416
1,GTI771,APPRENTISSAGE MACHINE AVANCÉ,01,Monday,08:30,12:00,Lecture,In-person,F-5009
1,GTI771,APPRENTISSAGE MACHINE AVANCÉ,01,Thursday,13:30,15:30,Lab,,A-3346
1,GTI771,APPRENTISSAGE MACHINE AVANCÉ,01,Thursday,15:30,17:30,Lab,,A-3346
