page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,DSN110,RECHERCHE UTILISATEUR I,01,Thursday,09:00,12:00,Lecture,In-person,F-2016
1,DSN110,RECHERCHE UTILISATEUR I,01,Thursday,13:00,15:00,Lab,In-person,F-2016
1,DSN120,ATELIER I: DESIGN UX,01,Monday,09:00,12:00,Lecture,In-person,F-2016
1,DSN120,ATELIER I: DESIGN UX,01,Monday,13:00,15:00,Lab,In-person,F-2016
1,DSN120,ATELIER I: DESIGN UX,02,Monday,09:00,12:00,Lecture,In-person,F-2016
1,DSN120,ATELIER I: DESIGN UX,02,Monday,13:00,15:00,Lab,In-person,F-2016
1,DSN140,HISTOIRE DES IDÉES EN DESIGN UX,01,Wednesday,09:00,12:00,Lecture,In-person,F-2016
1,DSN140,HISTOIRE DES IDÉES EN DESIGN UX,01,Wednesday,13:00,15:00,Lab,In-person,F-2016
1,DSN170,DESIGN UI ET CULTURE GRAPHIQUE,01,Friday,09:00,12:00,Lecture,In-person,F-2016
1,DSN170,DESIGN UI ET CULTURE GRAPHIQUE,01,Friday,13:00,15:00,Lab,In-person,F-2016
1,DSN230,PROTOTYPAGE POUR LE DESIGN UX,01,Tuesday,09:00,12:00,Lecture,In-person,F-2016
1,DSN230,PROTOTYPAGE POUR LE DESIGN UX,01,Tuesday,13:00,15:00,Lab,In-person,F-2016
1,DSN230,PROTOTYPAGE POUR LE DESIGN UX,02,Tuesday,09:00,12:00,Lecture,In-person,F-2016
2,DSN230,PROTOTYPAGE POUR LE DESIGN UX,02,Tuesday,13:00,15:00,Lab,In-person,F-2016
