page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,AER140,CONCEPTION ASSISTÉE PAR ORDINATEUR EN,01,Wednesday,09:00,12:30,Lecture,In-person,ENA-037
1,AER140,CONCEPTION ASSISTÉE PAR ORDINATEUR EN,01,Wednesday,13:30,16:30,Lab,In-person,ENA-141
1,AER300,AÉRODYNAMIQUE,01,Thursday,09:00,12:30,Lecture,In-person,ENA-037
1,AER300,AÉRODYNAMIQUE,01,Wednesday,09:00,12:00,Lab,In-person,ENA-141
1,AER600,INTRODUCTION À L’AÉROSPATIALE,01,Monday,08:30,10:30,Lab,In-person,
1,AER600,INTRODUCTION À L’AÉROSPATIALE,01,Thursday,08:30,12:00,Lecture,In-person,
1,AER600,INTRODUCTION À L’AÉROSPATIALE,02,Monday,13:30,15:30,Lab,In-person,
1,AER600,INTRODUCTION À L’AÉROSPATIALE,02,Wednesday,08:30,12:00,Lecture,In-person,
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,01,Monday,08:30,12:00,Lecture,In-person,
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,01,Thursday,08:30,10:30,Lab,In-person,
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,02,Friday,18:00,20:00,Lab,In-person,
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,02,Monday,18:00,21:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,17:00,Lecture,In-person,A. Jean-Fulcrand
2,CHM131,CHIMIE ET MATÉRIAUX,01,Thursday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,02,Wednesday,13:30,16:30,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,03,Friday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,09:00,12:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,04,Tuesday,13:30,17:00,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,05,Friday,13:30,16:30,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,13:30,17:00,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,06,Monday,13:30,16:30,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,07,Tuesday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,07,Wednesday,13:30,17:00,Lecture,In-person,M. Bergeron-Brlek
2,CHM131,CHIMIE ET MATÉRIAUX,08,Friday,09:00,12:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,08,Monday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,09,Tuesday,13:30,17:00,Lecture,In-person,J. Bissou Billong
2,CHM131,CHIMIE ET MATÉRIAUX,09,Wednesday,09:00,12:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,10,Monday,18:00,21:30,Lecture,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,10,Wednesday,18:00,21:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,11,Friday,18:00,21:00,Lab,In-person,
2,CHM131,CHIMIE ET MATÉRIAUX,11,Tuesday,18:00,21:30,Lecture,In-person,J. Bissou Billong
2,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,09:00,12:30,Lecture,In-person,M. Fraser
2,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,13:30,16:30,Lab,In-person,
2,COM140,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Friday,13:30,17:30,Lab,In-person,ENA-037
2,COM140,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Tuesday,09:00,12:30,Lecture,In-person,ENA-037 J.M. Laberge
2,ELE641,SYSTÈMES EMBARQUÉS ET NORMES EN AÉROSPATIAL ELE542,01,Friday,08:30,10:30,Lab,In-person,A-2402
2,ELE641,SYSTÈMES EMBARQUÉS ET NORMES EN AÉROSPATIAL ELE542,01,Thursday,13:30,17:00,Lecture,Hybrid,
2,ELE735,ANALYSE NUMÉRIQUE,01,Monday,18:00,22:00,Lab,,A-2500
2,ELE735,ANALYSE NUMÉRIQUE,01,Wednesday,18:00,21:30,Lecture,Hybrid,J.M. Lina
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Monday,13:30,15:30,Lab,In-person,M. Rabah
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Tuesday,09:00,12:30,Lecture,In-person,M. Rabah
2,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Monday,09:00,12:30,Lecture,In-person,
2,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Wednesday,10:30,12:30,Lab,In-person,
2,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,02,Saturday,09:00,12:30,Lecture,In-person,
2,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,02,Saturday,13:30,15:30,Lab,In-person,
3,ENT601,MARKETING ET VENTES,01,Friday,15:30,17:30,Lab,In-person,
3,ENT601,MARKETING ET VENTES,01,Wednesday,13:30,17:00,Lecture,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,01,Tuesday,15:30,17:30,Lecture,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,02,Wednesday,13:30,15:30,Lecture,In-person,T. Mekhaël
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,03,Monday,18:00,20:00,Lecture,Hybrid,M. Guyard
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,04,Friday,10:30,12:30,Lecture,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,05,Tuesday,10:30,12:30,Lecture,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,06,Thursday,18:00,20:00,Lecture,Hybrid,V. Rochelle
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,07,Thursday,10:30,12:30,Lecture,In-person,A. Ouellet-Simard
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,09,Monday,13:30,15:30,Lecture,In-person,A. Ouellet-Simard
4,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,10,Wednesday,18:00,20:00,Lecture,Hybrid,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,01,Thursday,13:30,15:30,Lab,In-person,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,01,Tuesday,13:30,17:00,Lecture,In-person,K. Lagacé
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,02,Monday,18:00,21:30,Lecture,Hybrid,J. Salvador-Tremblay
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,02,Wednesday,18:00,20:00,Lab,Hybrid,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,03,Saturday,09:00,12:30,Lecture,In-person,S. Sebai
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,03,Saturday,13:30,15:30,Lab,In-person,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,04,Thursday,13:30,17:00,Lecture,In-person,S. Sebai
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,04,Tuesday,13:30,15:30,Lab,In-person,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,05,Monday,18:00,20:00,Lab,Hybrid,
4,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,05,Wednesday,18:00,21:30,Lecture,Hybrid,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Friday,08:30,12:30,Lab,,A-1220
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Tuesday,08:30,12:00,Lecture,In-person,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Monday,18:00,21:30,Lecture,In-person,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Tuesday,18:00,22:00,Lab,,A-1220
4,GPA535,SYSTÈMES ASSERVIS,01,Thursday,08:30,11:30,Lab,,A-3608
4,GPA535,SYSTÈMES ASSERVIS,01,Thursday,13:30,16:30,Lab,,A-3608
4,GPA535,SYSTÈMES ASSERVIS,01,Wednesday,08:30,12:00,Lecture,In-person,R. Aissaoui
4,GPA745,INTRODUCTION À L'AVIONIQUE,01,Tuesday,18:00,21:30,Lecture,Distance,R. Botez
4,GPA745,INTRODUCTION À L'AVIONIQUE,01,Wednesday,18:00,21:00,Lab,In-person,A-3726
4,GPA745,INTRODUCTION À L'AVIONIQUE,02,Tuesday,18:00,21:00,Lab,In-person,A-3726
4,GPA745,INTRODUCTION À L'AVIONIQUE,02,Wednesday,18:00,21:30,Lecture,Distance,R. Botez
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Friday,08:30,11:30,Lab,,A-3608
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Monday,13:30,17:00,Lecture,In-person,G. Ghazi
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Wednesday,08:30,11:30,Lab,,A-3608
5,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Monday,10:30,12:30,Lab,Distance,
5,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Tuesday,13:30,17:00,Lecture,Distance,S. Tétreault
5,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Tuesday,18:00,21:30,Lecture,Distance,S. Tétreault
5,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Wednesday,18:00,20:00,Lab,Distance,
5,GSY500,MAÎTRISE STATISTIQUE DES PROCÉDÉS,01,Thursday,13:30,17:00,Lecture,In-person,S. Assal
