page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,ATE030,INTRODUCTION À LA THERMODYNAMIQUE,01,Tuesday,08:30,12:00,Lecture,In-person,D-3018
1,ATE030,INTRODUCTION À LA THERMODYNAMIQUE,02,Tuesday,08:30,12:00,Lecture,In-person,D-3012
1,ATE030,INTRODUCTION À LA THERMODYNAMIQUE,04,Tuesday,08:30,12:00,Lecture,In-person,F-3009
1,CHM130,CHIMIE ET THERMOCHIMIE,01,Friday,13:30,16:30,Lab,In-person,B-1404
1,CHM130,CHIMIE ET THERMOCHIMIE,01,Thursday,13:30,17:00,Lecture,In-person,B-1516
1,CHM130,CHIMIE ET THERMOCHIMIE,03,Friday,13:30,17:00,Lecture,In-person,B-1502
1,CHM130,CHIMIE ET THERMOCHIMIE,03,Thursday,13:30,16:30,Lab,In-person,B-1708
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,02,Thursday,08:30,12:30,Lab,In-person,B-3408
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,02,Wednesday,13:30,17:00,Lecture,In-person,B-1506
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,03,Thursday,13:30,17:30,Lab,In-person,B-3404
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,03,Tuesday,13:30,17:00,Lecture,In-person,D-3025
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,04,Friday,13:30,17:30,Lab,In-person,B-3408
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,04,Tuesday,09:00,12:30,Lecture,In-person,E-2022
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,05,Friday,08:30,12:30,Lab,In-person,B-3408
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,05,Monday,13:30,17:00,Lecture,In-person,B-1708
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,07,Monday,18:00,21:30,Lecture,In-person,B-1404
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,07,Wednesday,18:00,22:00,Lab,In-person,B-3410
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,10,Monday,18:00,22:00,Lab,In-person,B-3410
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,10,Wednesday,18:00,21:30,Lecture,In-person,B-1510
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,01,Monday,08:30,12:00,Lecture,In-person,D-5012
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,01,Wednesday,08:30,12:30,Lab,,D-3019
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,02,Monday,08:30,12:30,Lab,,D-4019
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,02,Tuesday,08:30,12:00,Lecture,In-person,D-5012
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,03,Monday,13:30,17:00,Lecture,In-person,D-3012
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,03,Thursday,13:30,17:30,Lab,,D-5010
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,04,Thursday,08:30,12:00,Lecture,In-person,D-5025
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,04,Thursday,13:30,17:30,Lab,,D-5010
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,05,Thursday,18:00,21:30,Lecture,In-person,D-5019
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,05,Tuesday,18:00,22:00,Lab,,D-3012
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,06,Monday,18:00,22:00,Lab,,D-3019
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,06,Wednesday,18:00,21:30,Lecture,In-person,D-5025
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,07,Monday,08:30,12:30,Lab,,D-4019
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,07,Wednesday,08:30,12:00,Lecture,In-person,D-4012
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,08,Thursday,18:00,21:30,Lecture,In-person,D-4018
2,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,08,Tuesday,18:00,22:00,Lab,,D-3007
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,01,Monday,13:30,17:00,Lecture,Hybrid,D-5012
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,01,Tuesday,13:30,17:30,Lab,,F-3064
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,02,Thursday,08:30,12:30,Lab,,D-5012
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,02,Thursday,13:30,17:00,Lecture,In-person,D-5025
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,03,Monday,08:30,12:00,Lecture,Hybrid,D-3012
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,03,Wednesday,13:30,17:30,Lab,,F-3060
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,04,Thursday,18:00,22:00,Lab,,D-3012
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,04,Tuesday,18:00,21:30,Lecture,Hybrid,D-3019
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,05,Thursday,08:30,12:30,Lab,,D-5012
2,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,05,Thursday,13:30,17:00,Lecture,Hybrid,D-5023
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,01,Monday,08:30,12:00,Lecture,In-person,D-5019
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,01,Monday,12:00,18:00,Lab,,A-0450
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,02,Friday,08:30,12:00,Lecture,In-person,D-5009
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,02,Friday,12:00,18:00,Lab,,A-0450
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,03,Wednesday,08:30,12:00,Lecture,In-person,D-4019
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,03,Wednesday,12:00,18:00,Lab,,A-0450
2,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,04,Saturday,08:30,12:00,Lecture,In-person,E-4021
