page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,AER600,INTRODUCTION À L’AÉROSPATIALE,01,Monday,08:30,10:30,Lab,In-person,F-3042
1,AER600,INTRODUCTION À L’AÉROSPATIALE,01,Thursday,08:30,12:00,Lecture,In-person,D-4019
1,AER600,INTRODUCTION À L’AÉROSPATIALE,02,Monday,13:30,15:30,Lab,In-person,F-3046
1,AER600,INTRODUCTION À L’AÉROSPATIALE,02,Wednesday,08:30,12:00,Lecture,In-person,F-3042
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,01,Monday,08:30,12:00,Lecture,In-person,E-4022
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,01,Thursday,08:30,10:30,Lab,In-person,D-3007
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,02,Friday,18:00,20:00,Lab,In-person,F-3042
1,AER671,DESIGN CONCEPTUEL DES AÉRONEFS,02,Monday,18:00,21:30,Lecture,In-person,F-3046
1,ATE029,INTRODUCTION À LA MODÉLISATION SOLIDE AVEC,01,Saturday,08:30,17:00,Workshop,In-person,A-1504
1,ATE029,INTRODUCTION À LA MODÉLISATION SOLIDE AVEC,02,Saturday,08:30,17:00,Workshop,In-person,A-1432
1,ATE029,INTRODUCTION À LA MODÉLISATION SOLIDE AVEC,03,Saturday,08:30,17:00,Workshop,In-person,A-1214
2,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,17:00,Lecture,In-person,B-1502
2,CHM131,CHIMIE ET MATÉRIAUX,01,Thursday,09:00,12:00,Lab,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:30,Lecture,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,02,Wednesday,13:30,16:30,Lab,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,03,Friday,09:00,12:00,Lab,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,09:00,12:30,Lecture,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,04,Tuesday,13:30,17:00,Lecture,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,09:00,12:00,Lab,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,05,Friday,13:30,16:30,Lab,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,13:30,17:00,Lecture,In-person,B-1518
2,CHM131,CHIMIE ET MATÉRIAUX,06,Monday,13:30,16:30,Lab,In-person,B-1720
