page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,01,Wednesday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,03,Tuesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Monday,09:00,12:30,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,18:00,21:30,Lecture,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,06,Tuesday,09:00,12:30,Lecture,In-person,B-1404
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,08:30,12:30,Lab,,B-3408
1,COM120,MÉTHODES DE COMMUNICATION,01,Tuesday,09:00,12:30,Lecture,In-person,D-4008
1,COM120,MÉTHODES DE COMMUNICATION,02,Monday,13:30,17:00,Lecture,In-person,B-1504
1,COM120,MÉTHODES DE COMMUNICATION,02,Wednesday,08:30,12:30,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Monday,18:00,22:00,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Wednesday,18:00,21:30,Lecture,In-person,B-1502
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,01,Tuesday,08:30,12:00,Lecture,In-person,D-4012
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,01,Tuesday,13:30,15:30,Lab,In-person,D-4019
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,02,Thursday,18:00,20:00,Lab,Hybrid,D-4008
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,02,Tuesday,18:00,21:30,Lecture,Hybrid,D-5007
1,CTN248,STATIQUE ET DYNAMIQUE,01,Thursday,08:30,10:30,Lab,In-person,B-3422
1,CTN248,STATIQUE ET DYNAMIQUE,01,Thursday,13:30,17:00,Lecture,In-person,D-4017
1,CTN248,STATIQUE ET DYNAMIQUE,02,Thursday,08:30,12:00,Lecture,In-person,B-0904
1,CTN248,STATIQUE ET DYNAMIQUE,02,Thursday,13:30,15:30,Lab,In-person,B-0904
1,CTN318,RÉSISTANCE DES MATÉRIAUX,01,Monday,13:30,15:30,Lab,In-person,D-5018
1,CTN318,RÉSISTANCE DES MATÉRIAUX,01,Tuesday,13:30,17:00,Lecture,In-person,D-5007
2,CTN320,PLANIFICATION ET CONTRÔLE DES PROJETS DE,02,Monday,18:00,21:30,Lecture,Hybrid,A-1432
2,CTN320,PLANIFICATION ET CONTRÔLE DES PROJETS DE,02,Thursday,18:00,21:00,Lab,Hybrid,A-1560
2,CTN336,MÉCANIQUE DES FLUIDES,01,Friday,13:30,16:30,Lab,In-person,D-5025
2,CTN336,MÉCANIQUE DES FLUIDES,01,Wednesday,08:30,12:00,Lecture,In-person,D-4019
2,CTN404,"SCIENCE ET TECHNOLOGIE DES MATÉRIAUX CHM131,",01,Monday,08:30,12:00,Lecture,Hybrid,D-4019
2,CTN404,"SCIENCE ET TECHNOLOGIE DES MATÉRIAUX CHM131,",01,Tuesday,08:30,12:30,Lab,Hybrid,B-3428
2,CTN404,"SCIENCE ET TECHNOLOGIE DES MATÉRIAUX CHM131,",02,Wednesday,08:30,12:00,Lecture,In-person,F-3046
2,CTN404,"SCIENCE ET TECHNOLOGIE DES MATÉRIAUX CHM131,",02,Wednesday,13:30,17:30,Lab,In-person,B-1504
2,CTN408,ANALYSE DES STRUCTURES,01,Monday,08:30,11:30,Lab,In-person,D-5018
2,CTN408,ANALYSE DES STRUCTURES,01,Wednesday,08:30,12:00,Lecture,In-person,F-3042
2,CTN408,ANALYSE DES STRUCTURES,02,Monday,18:00,21:00,Lab,In-person,A-1226
2,CTN408,ANALYSE DES STRUCTURES,02,Tuesday,18:00,21:30,Lecture,In-person,F-3042
2,CTN446,HYDRAULIQUE ET HYDROLOGIE,01,Monday,08:30,11:30,Lab,In-person,B-3422
2,CTN446,HYDRAULIQUE ET HYDROLOGIE,01,Wednesday,13:30,17:00,Lecture,In-person,D-5007
2,CTN504,MÉCANIQUE DES SOLS Pr. A et B:,01,Friday,08:30,12:00,Lecture,In-person,D-3012
2,CTN504,MÉCANIQUE DES SOLS Pr. A et B:,01,Wednesday,08:30,11:30,Lab,In-person,F-2040
2,CTN504,MÉCANIQUE DES SOLS Pr. A et B:,02,Monday,08:30,12:00,Lab,In-person,F-3010
2,CTN504,MÉCANIQUE DES SOLS Pr. A et B:,02,Thursday,13:30,17:00,Lecture,In-person,A-1592
2,CTN508,STRUCTURES DE BÉTON,01,Thursday,08:30,12:00,Lecture,Hybrid,B-3414
