page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,01,Wednesday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,03,Tuesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Monday,09:00,12:30,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,18:00,21:30,Lecture,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,06,Tuesday,09:00,12:30,Lecture,In-person,B-1404
1,COM400,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Thursday,13:30,17:00,Lecture,In-person,B-1716
1,COM400,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Wednesday,13:30,17:30,Lab,,B-3408
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Friday,13:30,17:00,Lecture,In-person,F-2054
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Tuesday,13:30,17:30,Lab,,A-2508
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Wednesday,13:30,15:30,Lab,,D-5012
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Friday,18:00,20:00,Lab,,D-4019
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Thursday,18:00,22:00,Lab,,A-2508
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Tuesday,18:00,21:30,Lecture,In-person,D-4010
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Monday,13:30,15:30,Lab,,D-4012
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Thursday,13:30,17:30,Lab,,A-2446
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Wednesday,08:30,12:00,Lecture,In-person,D-5017
1,ELE200,CIRCUITS ÉLECTRONIQUES ELE105,01,Monday,08:30,12:30,Lab,,A-2508
1,ELE200,CIRCUITS ÉLECTRONIQUES ELE105,01,Thursday,13:30,17:00,Lecture,Distance,M. Rafaf
1,ELE200,CIRCUITS ÉLECTRONIQUES ELE105,01,Tuesday,10:30,12:30,Lab,,
2,ELE216,DÉVELOPPEMENT DE LOGICIELS EN GÉNIE INF147,01,Friday,08:30,11:30,Lab,In-person,A-2404
2,ELE216,DÉVELOPPEMENT DE LOGICIELS EN GÉNIE INF147,01,Wednesday,08:30,12:00,Lecture,In-person,A-2404
2,ELE265,TRAITEMENT DE SIGNAUX,01,Friday,13:30,15:30,Lab,Hybrid,A-2500
2,ELE265,TRAITEMENT DE SIGNAUX,01,Thursday,08:30,12:00,Lecture,Hybrid,D-5007
2,ELE275,ASSERVISSEMENTS LINÉAIRES ELE105,01,Monday,13:30,17:30,Lab,,A-2502
2,ELE275,ASSERVISSEMENTS LINÉAIRES ELE105,01,Tuesday,13:30,17:00,Lecture,In-person,F-2040
2,ELE275,ASSERVISSEMENTS LINÉAIRES ELE105,01,Wednesday,13:30,15:30,Lab,,
2,ELE312,ÉLECTROMAGNÉTISME,01,Monday,10:30,12:30,Lab,Hybrid,F-3042
2,ELE312,ÉLECTROMAGNÉTISME,01,Tuesday,08:30,12:00,Lecture,Hybrid,F-2040
2,ELE312,ÉLECTROMAGNÉTISME,02,Tuesday,18:00,20:00,Lab,Hybrid,D-5008
2,ELE312,ÉLECTROMAGNÉTISME,02,Wednesday,18:00,21:30,Lecture,Hybrid,F-3064
2,ELE344,CONCEPTION ET ARCHITECTURE DE PROCESSEURS ELE140,01,Friday,08:30,11:30,Lab,,A-2446
2,ELE344,CONCEPTION ET ARCHITECTURE DE PROCESSEURS ELE140,01,Tuesday,13:30,16:30,Lab,,A-2400
2,ELE344,CONCEPTION ET ARCHITECTURE DE PROCESSEURS ELE140,01,Wednesday,08:30,12:00,Lecture,In-person,D-4025
2,ELE355,ÉLECTRONIQUE DE PUISSANCE I ELE200,01,Monday,08:30,12:00,Lecture,In-person,F-3040
2,ELE355,ÉLECTRONIQUE DE PUISSANCE I ELE200,01,Thursday,08:30,12:30,Lab,,A-2505
2,ELE355,ÉLECTRONIQUE DE PUISSANCE I ELE200,01,Wednesday,08:30,10:30,Lab,,D-5010
2,ELE400,"MÉTHODOLOGIE DE DESIGN EN GÉNIE ÉLECTRIQUE Pr. E: ELE216, ELE344 / Pr. E:",01,Friday,08:30,12:30,Lab,Hybrid,A-2500
2,ELE400,"MÉTHODOLOGIE DE DESIGN EN GÉNIE ÉLECTRIQUE Pr. E: ELE216, ELE344 / Pr. E:",01,Tuesday,08:30,12:00,Lecture,Hybrid,D-5025
2,ELE413,ONDES ÉLECTROMAGNÉTIQUES ELE312,01,Monday,08:30,12:00,Lecture,In-person,D-4025
