page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,01,Wednesday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,03,Tuesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Monday,09:00,12:30,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,18:00,21:30,Lecture,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,06,Tuesday,09:00,12:30,Lecture,In-person,B-1404
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,08:30,12:30,Lab,,B-3408
1,COM120,MÉTHODES DE COMMUNICATION,01,Tuesday,09:00,12:30,Lecture,In-person,D-4008
1,COM120,MÉTHODES DE COMMUNICATION,02,Monday,13:30,17:00,Lecture,In-person,B-1504
1,COM120,MÉTHODES DE COMMUNICATION,02,Wednesday,08:30,12:30,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Monday,18:00,22:00,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Wednesday,18:00,21:30,Lecture,In-person,B-1502
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Thursday,09:00,11:00,Lab,In-person,E-4025
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Tuesday,13:30,17:00,Lecture,In-person,E-4025
1,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Monday,09:00,12:30,Lecture,In-person,B-3428
1,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Wednesday,18:00,20:00,Lab,In-person,B-0906
1,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Friday,08:30,10:30,Lab,,B-1706
1,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Friday,10:30,12:30,Lab,,B-1706
1,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Wednesday,13:30,17:00,Lecture,In-person,B-1516
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Monday,09:00,12:30,Lecture,In-person,B-1504
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Thursday,08:30,12:30,Lab,,B-1514
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Monday,13:30,17:30,Lab,,B-1518
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Wednesday,13:30,17:00,Lecture,In-person,B-1502
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Tuesday,18:00,22:00,Lab,,
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Wednesday,18:00,21:30,Lecture,Hybrid,K. Lagacé
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Monday,13:30,17:00,Lecture,In-person,B-4408
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Wednesday,13:30,17:30,Lab,,B-1506
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Monday,08:30,12:00,Lecture,In-person,F-3064
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Wednesday,13:30,17:30,Lab,,F-2040
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Friday,18:00,22:00,Lab,,D-4017
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Tuesday,18:00,21:30,Lecture,In-person,D-4007
2,GOL301,CONCEPTION ET AMÉNAGEMENT DE SYSTÈMES GOL201,01,Monday,08:30,12:00,Lecture,In-person,F-3016
2,GOL301,CONCEPTION ET AMÉNAGEMENT DE SYSTÈMES GOL201,01,Monday,13:30,15:30,Lab,In-person,A-4516
2,GOL401,RÉINGÉNIERIE DE PROCESSUS D’AFFAIRES ET GOL201,01,Friday,18:00,20:00,Lab,In-person,A-3608
2,GOL401,RÉINGÉNIERIE DE PROCESSUS D’AFFAIRES ET GOL201,01,Monday,18:00,21:30,Lecture,In-person,D-5008
2,GOL460,"CHAÎNES LOGISTIQUES ET D'APPROVISIONNEMENT GOL405 / GOL451, GSY400",01,Monday,08:30,11:30,Lab,In-person,A-3566
2,GOL460,"CHAÎNES LOGISTIQUES ET D'APPROVISIONNEMENT GOL405 / GOL451, GSY400",01,Tuesday,08:30,12:00,Lecture,In-person,F-3016
2,GOL465,"SIMULATION DES OPÉRATIONS ET DES ACTIVITÉS DE GOL401,",01,Monday,18:00,21:30,Lecture,In-person,A-3566
2,GOL465,"SIMULATION DES OPÉRATIONS ET DES ACTIVITÉS DE GOL401,",01,Wednesday,18:00,21:00,Lab,In-person,A-3566
