page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,08:30,12:30,Lab,,B-3408
1,COM120,MÉTHODES DE COMMUNICATION,01,Tuesday,09:00,12:30,Lecture,In-person,D-4008
1,COM120,MÉTHODES DE COMMUNICATION,02,Monday,13:30,17:00,Lecture,In-person,B-1504
1,COM120,MÉTHODES DE COMMUNICATION,02,Wednesday,08:30,12:30,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Monday,18:00,22:00,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Wednesday,18:00,21:30,Lecture,In-person,B-1502
1,ELE749,CONCEPTION CONJOINTE MATÉRIEL-LOGICIEL DE ELE344,01,Thursday,18:00,21:30,Lecture,In-person,F-2040
1,ELE749,CONCEPTION CONJOINTE MATÉRIEL-LOGICIEL DE ELE344,01,Tuesday,18:00,20:00,Lab,In-person,A-2500
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Friday,08:30,10:30,Lab,Hybrid,A-3342
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Monday,13:30,17:00,Lecture,Hybrid,D-5009
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Thursday,18:00,20:00,Lab,Hybrid,A-3346
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Tuesday,18:00,21:30,Lecture,Hybrid,A-1424
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Thursday,18:00,20:00,Lab,,A-3446
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Thursday,18:00,20:00,Lab,,A-3450
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Tuesday,18:00,21:30,Lecture,In-person,D-5025
1,GTI771,APPRENTISSAGE MACHINE AVANCÉ,01,Friday,13:30,15:30,Lab,In-person,A-3446
1,GTI771,APPRENTISSAGE MACHINE AVANCÉ,01,Monday,08:30,12:00,Lecture,In-person,F-3009
1,IND235,GRAPHES ET ALGORITHMES,01,Monday,08:30,12:00,Lecture,In-person,D-5019
1,IND235,GRAPHES ET ALGORITHMES,01,Wednesday,13:30,15:30,Lab,In-person,A-3220
2,IND250,CONCEPTION DE PLATEFORMES INFONUAGIQUES,01,Friday,13:30,15:30,Lab,Distance,A-3450
2,IND250,CONCEPTION DE PLATEFORMES INFONUAGIQUES,01,Wednesday,08:30,12:00,Lecture,In-person,D-5019
2,IND300,SÉCURITÉ DANS LES ENVIRONNEMENTS,01,Thursday,08:30,10:30,Lab,In-person,A-3220
2,IND300,SÉCURITÉ DANS LES ENVIRONNEMENTS,01,Tuesday,08:30,12:00,Lecture,In-person,F-3046
2,IND520,RÉALISATION D’UNE SOLUTION IDO,01,Monday,13:30,17:00,Lecture,In-person,A-3340
2,IND520,RÉALISATION D’UNE SOLUTION IDO,01,Wednesday,08:30,10:30,Lab,In-person,A-3340
2,LOG121,CONCEPTION ORIENTÉE OBJET,01,Monday,13:30,16:30,Lab,In-person,A-3450
2,LOG121,CONCEPTION ORIENTÉE OBJET,01,Wednesday,08:30,12:00,Lecture,In-person,D-5007
2,LOG121,CONCEPTION ORIENTÉE OBJET,02,Friday,08:30,11:30,Lab,In-person,A-3450
2,LOG121,CONCEPTION ORIENTÉE OBJET,02,Thursday,13:30,17:00,Lecture,In-person,D-4018
2,LOG121,CONCEPTION ORIENTÉE OBJET,03,Monday,13:30,17:00,Lecture,In-person,F-2054
2,LOG121,CONCEPTION ORIENTÉE OBJET,03,Wednesday,08:30,11:30,Lab,In-person,A-3450
2,LOG121,CONCEPTION ORIENTÉE OBJET,04,Friday,08:30,12:00,Lecture,In-person,D-3019
2,LOG121,CONCEPTION ORIENTÉE OBJET,04,Thursday,13:30,16:30,Lab,In-person,A-3412
2,LOG320,STRUCTURES DE DONNÉES ET ALGORITHMES,01,Thursday,08:30,11:30,Lab,In-person,A-3346
2,LOG320,STRUCTURES DE DONNÉES ET ALGORITHMES,01,Wednesday,13:30,17:00,Lecture,In-person,D-4019
2,LOG320,STRUCTURES DE DONNÉES ET ALGORITHMES,02,Thursday,13:30,16:30,Lab,In-person,A-3346
2,LOG320,STRUCTURES DE DONNÉES ET ALGORITHMES,02,Wednesday,08:30,12:00,Lecture,In-person,B-4408
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,01,Monday,18:00,21:30,Lecture,In-person,D-4012
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,01,Wednesday,18:00,20:00,Lab,In-person,A-3450
2,LOG645,ARCHITECTURES DE CALCULS PARALLÈLES,01,Monday,18:00,20:00,Lab,In-person,A-3342
2,LOG645,ARCHITECTURES DE CALCULS PARALLÈLES,01,Thursday,18:00,21:30,Lecture,In-person,F-5009
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,01,Thursday,08:30,11:30,Lab,Distance,A-3340
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,01,Tuesday,08:30,12:00,Lecture,Distance,M. Kaba
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,02,Thursday,08:30,12:00,Lecture,Distance,M. Kaba
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,02,Tuesday,08:30,11:30,Lab,Distance,A-3450
3,LOG680,INTRODUCTION À L'APPROCHE DEVOPS,01,Monday,08:30,10:30,Lab,,A-3346
