page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,01,Wednesday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,03,Tuesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Monday,09:00,12:30,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,18:00,21:30,Lecture,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,06,Tuesday,09:00,12:30,Lecture,In-person,B-1404
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,08:30,12:30,Lab,,B-3408
1,COM120,MÉTHODES DE COMMUNICATION,01,Tuesday,09:00,12:30,Lecture,In-person,D-4008
1,COM120,MÉTHODES DE COMMUNICATION,02,Monday,13:30,17:00,Lecture,In-person,B-1504
1,COM120,MÉTHODES DE COMMUNICATION,02,Wednesday,08:30,12:30,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Monday,18:00,22:00,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Wednesday,18:00,21:30,Lecture,In-person,B-1502
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Thursday,13:30,17:00,Lecture,In-person,B-3428
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Wednesday,13:30,17:30,Lab,,B-3410
1,ELE747,ANALYSE ET TRAITEMENT D'IMAGES,01,Thursday,08:30,12:30,Lab,,A-2446
1,ELE747,ANALYSE ET TRAITEMENT D'IMAGES,01,Tuesday,13:30,17:00,Lecture,In-person,F-3016
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Thursday,09:00,11:00,Lab,In-person,E-4025
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Tuesday,13:30,17:00,Lecture,In-person,E-4025
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Monday,09:00,12:30,Lecture,In-person,B-3428
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Wednesday,18:00,20:00,Lab,In-person,B-0906
2,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Friday,08:30,10:30,Lab,,B-1706
2,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Friday,10:30,12:30,Lab,,B-1706
2,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Wednesday,13:30,17:00,Lecture,In-person,B-1516
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Monday,09:00,12:30,Lecture,In-person,B-1504
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Thursday,08:30,12:30,Lab,,B-1514
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Monday,13:30,17:30,Lab,,B-1518
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Wednesday,13:30,17:00,Lecture,In-person,B-1502
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Tuesday,18:00,22:00,Lab,,
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Wednesday,18:00,21:30,Lecture,Hybrid,K. Lagacé
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Monday,13:30,17:00,Lecture,In-person,B-4408
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Wednesday,13:30,17:30,Lab,,B-1506
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Monday,08:30,12:00,Lecture,In-person,F-3064
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Wednesday,13:30,17:30,Lab,,F-2040
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Friday,18:00,22:00,Lab,,D-4017
2,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Tuesday,18:00,21:30,Lecture,In-person,D-4007
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Monday,08:30,12:00,Lecture,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Wednesday,13:30,15:30,Lab,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Tuesday,18:00,21:30,Lecture,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Wednesday,18:00,20:00,Lab,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,03,Monday,13:30,15:30,Lab,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,03,Tuesday,13:30,17:00,Lecture,Distance,S. Tétreault
