page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Friday,13:30,17:00,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Thursday,13:30,16:30,Lab,In-person,B-1514
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,09:00,12:30,Lecture,In-person,B-1506
1,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Tuesday,09:00,12:00,Lab,In-person,B-1516
1,CHM131,CHIMIE ET MATÉRIAUX,05,Wednesday,13:30,17:00,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,07,Friday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,07,Thursday,13:30,17:00,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,09,Thursday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,09,Wednesday,18:00,21:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,11,Thursday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,11,Wednesday,09:00,12:30,Lecture,In-person,B-3422
1,CHM131,CHIMIE ET MATÉRIAUX,12,Friday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,12,Monday,18:00,21:30,Lecture,In-person,B-1708
1,COM400,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Thursday,13:30,17:00,Lecture,In-person,D-4008
1,COM400,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Tuesday,08:30,12:30,Lab,In-person,B-3410
1,ELE104,PRINCIPES FONDAMENTAUX DES CIRCUITS,01,Thursday,08:30,12:00,Lecture,In-person,D-3017
1,ELE104,PRINCIPES FONDAMENTAUX DES CIRCUITS,01,Tuesday,08:30,12:30,Lab,,D-3009
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Monday,13:30,15:30,Lab,,D-5017
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Monday,13:30,17:30,Lab,,A-2508
1,ELE105,CIRCUITS ÉLECTRIQUES,01,Thursday,08:30,12:00,Lecture,In-person,D-5009
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Monday,18:00,21:30,Lecture,In-person,D-4017
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Thursday,18:00,20:00,Lab,,D-5017
1,ELE105,CIRCUITS ÉLECTRIQUES,02,Wednesday,18:00,22:00,Lab,,A-2508
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Monday,08:30,12:30,Lab,,A-2446
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Thursday,13:30,15:30,Lab,,A-1302
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,01,Wednesday,08:30,12:00,Lecture,In-person,A-1302
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,02,Monday,08:30,12:00,Lecture,In-person,F-3042
1,ELE140,CONCEPTION DES SYSTÈMES NUMÉRIQUES,02,Thursday,13:30,17:30,Lab,,A-2446
