page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Friday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,01,Wednesday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,02,Monday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,05,Friday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,05,Tuesday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,06,Wednesday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,07,Friday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,07,Tuesday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,08,Tuesday,18:00,21:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,08,Wednesday,18:00,21:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,09,Friday,18:00,21:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,09,Monday,18:00,21:00,Lab,In-person,
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Monday,09:00,12:30,Lecture,In-person,
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Tuesday,10:30,12:30,Lab,In-person,
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Monday,09:00,12:30,Lecture,In-person,
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Wednesday,08:30,10:30,Lab,In-person,
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,02,Tuesday,09:00,12:30,Lecture,In-person,
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,02,Wednesday,10:30,12:30,Lab,In-person,
1,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,01,Thursday,10:30,12:30,Workshop,In-person,
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,02,Tuesday,13:30,15:30,Workshop,In-person,
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,03,Wednesday,10:30,12:30,Workshop,In-person,
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,04,Monday,15:30,17:30,Workshop,In-person,
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,05,Tuesday,10:30,12:30,Workshop,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,06,Wednesday,15:30,17:30,Workshop,In-person,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,07,Tuesday,18:00,20:00,Workshop,Hybrid,
3,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,08,Wednesday,18:00,20:00,Workshop,Hybrid,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,01,Thursday,13:30,17:30,Lab,In-person,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,01,Tuesday,09:00,12:30,Lecture,In-person,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,02,Monday,09:00,12:30,Lecture,In-person,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,02,Tuesday,13:30,17:30,Lab,In-person,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,03,Tuesday,18:00,21:30,Lecture,Hybrid,
3,GIA410,GESTION ET ÉCONOMIE DES PROJETS D’INGÉNIERIE,03,Wednesday,18:00,22:00,Lab,Hybrid,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Friday,13:30,17:30,Lab,,A-1222
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Wednesday,08:30,12:00,Lecture,In-person,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Monday,18:00,21:30,Lecture,In-person,
4,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Wednesday,18:00,22:00,Lab,,A-1222
4,GPA535,SYSTÈMES ASSERVIS,01,Friday,13:30,17:00,Lecture,In-person,
4,GPA535,SYSTÈMES ASSERVIS,01,Thursday,08:30,11:30,Lab,,A-3608
4,GPA535,SYSTÈMES ASSERVIS,01,Thursday,13:30,16:30,Lab,,A-3608
4,GPA725,CAO DE COMPOSANTS AÉRONAUTIQUES GPA445,01,Monday,18:00,21:30,Lecture,In-person,
4,GPA725,CAO DE COMPOSANTS AÉRONAUTIQUES GPA445,01,Wednesday,18:00,21:00,Lab,In-person,A-3566
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Thursday,18:00,21:00,Lab,,A-3726
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Tuesday,18:00,21:30,Lecture,In-person,
4,GPA783,ASSERVISSEMENT NUMÉRIQUE EN TEMPS RÉEL GPA535,01,Wednesday,18:00,21:00,Lab,,A-3726
4,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Monday,13:30,15:30,Lab,Distance,
4,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Thursday,13:30,17:00,Lecture,Distance,
4,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Thursday,18:00,21:30,Lecture,Distance,
4,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Tuesday,18:00,20:00,Lab,Distance,
4,GSY500,MAÎTRISE STATISTIQUE DES PROCÉDÉS,01,Friday,08:30,12:00,Lecture,In-person,
4,GSY500,MAÎTRISE STATISTIQUE DES PROCÉDÉS,01,Wednesday,08:30,12:30,Lab,In-person,A-4516
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,01,Monday,13:30,16:30,Lab,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,01,Wednesday,13:30,17:00,Lecture,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,02,Monday,09:00,12:30,Lecture,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,02,Tuesday,09:00,12:00,Lab,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,03,Tuesday,13:30,17:00,Lecture,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,03,Wednesday,09:00,12:00,Lab,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,04,Friday,18:00,21:30,Lecture,In-person,
4,INF136,INTRODUCTION À LA PROGRAMMATION EN PYTHON,04,Monday,18:00,21:00,Lab,In-person,
4,ING500,OUTILS DE DÉVELOPPEMENT DURABLE POUR,01,Monday,08:30,12:30,Lab,In-person,
4,ING500,OUTILS DE DÉVELOPPEMENT DURABLE POUR,01,Thursday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,01,Friday,13:30,16:30,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,01,Thursday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,02,Monday,09:00,12:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,02,Tuesday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,03,Monday,13:30,17:00,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,03,Tuesday,13:30,16:30,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,04,Thursday,13:30,16:30,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,04,Wednesday,13:30,17:00,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,05,Friday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,05,Wednesday,09:00,12:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,06,Monday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,06,Tuesday,09:00,12:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,07,Monday,13:30,16:30,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,07,Tuesday,13:30,17:00,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,08,Thursday,13:30,17:00,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,08,Wednesday,13:30,16:30,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,09,Friday,09:00,12:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,09,Wednesday,09:00,12:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,10,Monday,18:00,21:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,10,Tuesday,18:00,21:30,Lecture,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,11,Thursday,18:00,21:00,Lab,In-person,
5,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,11,Wednesday,18:00,21:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,01,Tuesday,09:00,12:00,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,01,Wednesday,13:30,17:00,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,02,Friday,13:30,17:00,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,02,Monday,09:00,12:00,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,03,Thursday,13:30,16:30,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,03,Tuesday,13:30,17:00,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,04,Friday,09:00,12:00,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,04,Thursday,09:00,12:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,05,Monday,13:30,16:30,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,05,Wednesday,09:00,12:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,06,Tuesday,09:00,12:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,06,Wednesday,13:30,16:30,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,07,Friday,13:30,16:30,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,07,Monday,09:00,12:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,08,Thursday,13:30,17:00,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,08,Tuesday,13:30,16:30,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,09,Friday,09:00,12:30,Lecture,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,09,Thursday,09:00,12:00,Lab,In-person,
5,MAT265,ÉQUATIONS DIFFÉRENTIELLES,10,Monday,18:00,21:00,Lab,In-person,
