page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM130,CHIMIE ET THERMOCHIMIE,01,Friday,13:30,16:30,Lab,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,01,Wednesday,09:00,12:30,Lecture,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,02,Monday,09:00,12:00,Lab,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,02,Tuesday,09:00,12:30,Lecture,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,03,Monday,13:30,16:30,Lab,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,03,Thursday,13:30,17:00,Lecture,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,04,Monday,18:00,21:30,Lecture,In-person,
1,CHM130,CHIMIE ET THERMOCHIMIE,04,Thursday,18:00,21:00,Lab,In-person,
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Friday,09:00,12:30,Lecture,In-person,
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Tuesday,13:30,17:30,Lab,In-person,
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,02,Thursday,18:00,22:00,Lab,In-person,
1,COM127,RÉDACTION TECHNIQUE ET COMMUNICATION EN,02,Wednesday,18:00,21:30,Lecture,In-person,
1,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,01,Friday,13:30,17:30,Lab,,
1,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,01,Tuesday,08:30,12:00,Lecture,In-person,
1,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,02,Monday,18:00,22:00,Lab,,
1,CTN100,ÉLÉMENTS DE GESTION DE PROJETS DE,02,Wednesday,18:00,21:30,Lecture,In-person,
1,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,01,Thursday,08:30,12:30,Lab,,
1,CTN112,ÉLÉMENTS DE CONSTRUCTION DE BÂTIMENT,01,Thursday,13:30,17:00,Lecture,Hybrid,
1,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,01,Monday,08:30,12:00,Lecture,In-person,
1,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,01,Monday,12:00,15:00,Lab,,A-0450
1,CTN114,ÉLÉMENTS DE MATÉRIAUX DE CONSTRUCTION,01,Monday,15:00,18:00,Lab,,A-0450
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,01,Saturday,08:30,12:00,Lecture,Hybrid,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,01,Saturday,13:30,15:30,Lab,Hybrid,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,02,Tuesday,08:30,12:00,Lecture,In-person,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,02,Tuesday,13:30,15:30,Lab,In-person,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,03,Friday,08:30,12:00,Lecture,Hybrid,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,03,Friday,13:30,15:30,Lab,Hybrid,
1,CTN210,MÉTHODES DE CONSTRUCTION ET PRODUCTIVITÉ Pr. B:,04,Thursday,18:00,21:30,Lecture,In-person,
