page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,COM120,MÉTHODES DE COMMUNICATION,01,Thursday,18:00,22:00,Lab,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,01,Wednesday,18:00,21:30,Lecture,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,03,Monday,18:00,22:00,Lab,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,03,Tuesday,18:00,21:30,Lecture,In-person,
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Friday,18:00,21:30,Lecture,Distance,
1,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Tuesday,18:00,20:00,Lab,Distance,A-3342
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Friday,08:30,10:30,Lab,,A-3344
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Friday,10:30,12:30,Lab,,A-3344
1,GTI619,SÉCURITÉ DES SYSTÈMES,01,Wednesday,13:30,17:00,Lecture,In-person,
1,GTI619,SÉCURITÉ DES SYSTÈMES,02,Friday,18:00,21:30,Lecture,In-person,
1,GTI619,SÉCURITÉ DES SYSTÈMES,02,Monday,18:00,20:00,Lab,,A-3412
1,GTI619,SÉCURITÉ DES SYSTÈMES,02,Monday,20:00,22:00,Lab,,A-3412
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Friday,08:30,12:00,Lecture,In-person,
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Thursday,08:30,10:30,Lab,,A-3450
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,01,Thursday,10:30,12:30,Lab,,A-3450
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,02,Friday,18:00,21:30,Lecture,In-person,
1,GTI700,PRINCIPES ET FONDEMENTS DE L’INTERNET DES,02,Thursday,18:00,20:00,Lab,In-person,A-3450
1,IND220,SYSTÈMES D’EXPLOITATION ET SERVICES INTERNET,01,Friday,08:30,10:30,Lab,In-person,A-3446
1,IND220,SYSTÈMES D’EXPLOITATION ET SERVICES INTERNET,01,Thursday,08:30,12:00,Lecture,In-person,
1,LOG121,CONCEPTION ORIENTÉE OBJET,01,Friday,08:30,11:30,Lab,In-person,A-3344
1,LOG121,CONCEPTION ORIENTÉE OBJET,01,Tuesday,08:30,12:00,Lecture,In-person,
1,LOG121,CONCEPTION ORIENTÉE OBJET,02,Friday,13:30,16:30,Lab,In-person,A-3450
1,LOG121,CONCEPTION ORIENTÉE OBJET,02,Thursday,13:30,17:00,Lecture,In-person,
1,LOG121,CONCEPTION ORIENTÉE OBJET,03,Monday,13:30,17:00,Lecture,In-person,
1,LOG121,CONCEPTION ORIENTÉE OBJET,03,Wednesday,13:30,16:30,Lab,In-person,A-3450
1,LOG121,CONCEPTION ORIENTÉE OBJET,04,Friday,08:30,11:30,Lab,In-person,A-3450
1,LOG121,CONCEPTION ORIENTÉE OBJET,04,Tuesday,08:30,12:00,Lecture,In-person,
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,01,Friday,13:30,17:00,Lecture,In-person,
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,01,Monday,13:30,15:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,01,Monday,15:30,17:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,02,Friday,08:30,12:00,Lecture,In-person,
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,02,Wednesday,08:30,10:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,02,Wednesday,10:30,12:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,04,Friday,08:30,10:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,04,Friday,10:30,12:30,Lab,,A-3446
2,LOG635,SYSTÈMES INTELLIGENTS ET ALGORITHMES,04,Wednesday,08:30,12:00,Lecture,In-person,
2,LOG645,ARCHITECTURES DE CALCULS PARALLÈLES,01,Monday,13:30,17:00,Lecture,In-person,
2,LOG645,ARCHITECTURES DE CALCULS PARALLÈLES,01,Thursday,08:30,10:30,Lab,,A-3346
2,LOG645,ARCHITECTURES DE CALCULS PARALLÈLES,01,Thursday,10:30,12:30,Lab,,A-3346
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,01,Monday,18:00,21:30,Lecture,Distance,
2,LOG660,BASES DE DONNÉES DE HAUTE PERFORMANCE,01,Wednesday,18:00,21:00,Lab,Distance,A-3412
2,LOG675,PROGRAMMATION COMPÉTITIVE,01,Friday,13:30,15:30,Lab,,A-3446
2,LOG675,PROGRAMMATION COMPÉTITIVE,01,Friday,15:30,17:30,Lab,,A-3446
2,LOG675,PROGRAMMATION COMPÉTITIVE,01,Monday,08:30,12:00,Lecture,In-person,
2,LOG680,INTRODUCTION À L'APPROCHE DEVOPS,01,Tuesday,13:30,17:00,Lecture,In-person,
2,LOG680,INTRODUCTION À L'APPROCHE DEVOPS,01,Wednesday,13:30,15:30,Lab,,A-3344
2,LOG680,INTRODUCTION À L'APPROCHE DEVOPS,01,Wednesday,15:30,17:30,Lab,,A-3344
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,01,Friday,13:30,16:30,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,01,Thursday,09:00,12:30,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,02,Monday,09:00,12:00,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,02,Tuesday,09:00,12:30,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,03,Monday,13:30,17:00,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,03,Tuesday,13:30,16:30,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,04,Thursday,13:30,16:30,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,04,Wednesday,13:30,17:00,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,05,Friday,09:00,12:30,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,05,Wednesday,09:00,12:00,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,06,Monday,09:00,12:30,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,06,Tuesday,09:00,12:00,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,07,Monday,13:30,16:30,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,07,Tuesday,13:30,17:00,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,08,Thursday,13:30,17:00,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,08,Wednesday,13:30,16:30,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,10,Monday,18:00,21:00,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,10,Tuesday,18:00,21:30,Lecture,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,11,Thursday,18:00,21:00,Lab,In-person,
3,MAT145,CALCUL DIFFÉRENTIEL ET INTÉGRAL,11,Wednesday,18:00,21:30,Lecture,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,01,Monday,13:30,17:00,Lecture,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,01,Tuesday,13:30,16:30,Lab,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,02,Thursday,09:00,12:00,Lab,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,02,Wednesday,13:30,17:00,Lecture,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,03,Tuesday,09:00,12:00,Lab,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,03,Wednesday,09:00,12:30,Lecture,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,04,Monday,18:00,21:30,Lecture,In-person,
3,MAT210,LOGIQUE ET MATHÉMATIQUES DISCRÈTES,04,Tuesday,18:00,21:00,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,01,Thursday,09:00,12:30,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,01,Tuesday,09:00,12:00,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,02,Friday,09:00,12:00,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,02,Wednesday,09:00,12:30,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,03,Friday,13:30,17:00,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,03,Wednesday,13:30,16:30,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,04,Monday,13:30,17:00,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,04,Thursday,13:30,16:30,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,05,Monday,09:00,12:30,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,05,Tuesday,13:30,16:30,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,06,Thursday,09:00,12:00,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,06,Tuesday,09:00,12:30,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,07,Friday,09:00,12:30,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,07,Wednesday,09:00,12:00,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,08,Friday,13:30,16:30,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,08,Wednesday,13:30,17:00,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,09,Monday,13:30,16:30,Lab,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,09,Thursday,13:30,17:00,Lecture,In-person,
4,MAT350,PROBABILITÉS ET STATISTIQUES,10,Monday,09:00,12:00,Lab,In-person,
