page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,DSN210,RECHERCHE UTILISATEUR II,01,Monday,09:00,12:00,Lecture,In-person,
1,DSN210,RECHERCHE UTILISATEUR II,01,Monday,13:00,15:00,Lab,,
1,DSN220,ATELIER II : DESIGN DE SERVICES,01,Tuesday,09:00,12:00,Lecture,In-person,
1,DSN220,ATELIER II : DESIGN DE SERVICES,01,Tuesday,13:00,15:00,Lab,,
1,DSN220,ATELIER II : DESIGN DE SERVICES,02,Tuesday,09:00,12:00,Lecture,In-person,
1,DSN220,ATELIER II : DESIGN DE SERVICES,02,Tuesday,13:00,15:00,Lab,,
1,DSN240,DESIGN PARTICIPATIF ET DESIGN SOCIAL,01,Wednesday,09:00,12:00,Lecture,In-person,
1,DSN240,DESIGN PARTICIPATIF ET DESIGN SOCIAL,01,Wednesday,13:00,15:00,Lab,,
1,DSN260,FACTEURS HUMAINS ET SCIENCES COGNITIVES POUR,01,Friday,09:00,12:00,Lecture,In-person,
1,DSN260,FACTEURS HUMAINS ET SCIENCES COGNITIVES POUR,01,Friday,13:00,15:00,Lab,,
1,DSN270,DESIGN UI AVANCÉ ET SYSTÈME DE DESIGN,01,Thursday,09:00,12:00,Lecture,In-person,
1,DSN270,DESIGN UI AVANCÉ ET SYSTÈME DE DESIGN,01,Thursday,13:00,15:00,Lab,,
2,INF270,PROGRAMMATION WEB POUR LE DESIGN UX,01,Friday,10:30,12:30,Lab,In-person,
1,INF270,PROGRAMMATION WEB POUR LE DESIGN UX,01,Thursday,09:00,12:30,Lecture,In-person,
